survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2023-W11,ILIconsultationrate,15-64,3332.63466778453
primary care syndromic,Austria,2023-W11,ILIconsultationrate,5-14,2475.24752475248
primary care syndromic,Austria,2023-W11,ILIconsultationrate,65+,380.228136882129
primary care syndromic,Austria,2023-W11,ILIconsultationrate,total,2899.82761923003
primary care syndromic,Austria,2023-W10,ILIconsultationrate,0-4,5564.32517758485
primary care syndromic,Austria,2023-W10,ILIconsultationrate,15-64,3590.21567596002
primary care syndromic,Austria,2023-W10,ILIconsultationrate,5-14,3009.90099009901
primary care syndromic,Austria,2023-W10,ILIconsultationrate,65+,581.525385819727
primary care syndromic,Austria,2023-W10,ILIconsultationrate,total,3172.79829805964
primary care syndromic,Austria,2023-W09,ILIconsultationrate,0-4,10576.1641673244
primary care syndromic,Austria,2023-W09,ILIconsultationrate,15-64,3248.79480192832
primary care syndromic,Austria,2023-W09,ILIconsultationrate,5-14,4752.47524752475
primary care syndromic,Austria,2023-W09,ILIconsultationrate,65+,403.992395437262
primary care syndromic,Austria,2023-W09,ILIconsultationrate,total,3298.52552323757
primary care syndromic,Austria,2023-W08,ILIconsultationrate,0-4,7024.46724546172
primary care syndromic,Austria,2023-W08,ILIconsultationrate,15-64,3143.99496960805
primary care syndromic,Austria,2023-W08,ILIconsultationrate,5-14,4237.62376237624
primary care syndromic,Austria,2023-W08,ILIconsultationrate,65+,1259.50570342205
primary care syndromic,Austria,2023-W08,ILIconsultationrate,total,3132.7029086182906
primary care syndromic,Austria,2023-W07,ILIconsultationrate,0-4,4459.35280189424
primary care syndromic,Austria,2023-W07,ILIconsultationrate,15-64,2932.66701735928
primary care syndromic,Austria,2023-W07,ILIconsultationrate,5-14,1742.57425742574
primary care syndromic,Austria,2023-W07,ILIconsultationrate,65+,581.525385819727
primary care syndromic,Austria,2023-W07,ILIconsultationrate,total,2468.54711513773
primary care syndromic,Austria,2023-W06,ILIconsultationrate,0-4,4735.59589581689
primary care syndromic,Austria,2023-W06,ILIconsultationrate,15-64,2176.8547390716
primary care syndromic,Austria,2023-W06,ILIconsultationrate,5-14,1584.15841584158
primary care syndromic,Austria,2023-W06,ILIconsultationrate,65+,1380.82849709826
primary care syndromic,Austria,2023-W06,ILIconsultationrate,total,2160.38947866658
primary care syndromic,Austria,2023-W05,ILIconsultationrate,0-4,4222.57300710339
primary care syndromic,Austria,2023-W05,ILIconsultationrate,15-64,2294.8448185165694
primary care syndromic,Austria,2023-W05,ILIconsultationrate,5-14,1722.77227722772
primary care syndromic,Austria,2023-W05,ILIconsultationrate,65+,492.059941847461
primary care syndromic,Austria,2023-W05,ILIconsultationrate,total,2072.40582474416
primary care syndromic,Austria,2023-W04,ILIconsultationrate,0-4,4340.96290449882
primary care syndromic,Austria,2023-W04,ILIconsultationrate,15-64,2188.62152144496
primary care syndromic,Austria,2023-W04,ILIconsultationrate,5-14,2237.62376237624
primary care syndromic,Austria,2023-W04,ILIconsultationrate,65+,760.4562737642591
primary care syndromic,Austria,2023-W04,ILIconsultationrate,total,2140.10413144905
primary care syndromic,Austria,2023-W03,ILIconsultationrate,0-4,4183.10970797159
primary care syndromic,Austria,2023-W03,ILIconsultationrate,15-64,2482.79108077896
primary care syndromic,Austria,2023-W03,ILIconsultationrate,5-14,1960.39603960396
primary care syndromic,Austria,2023-W03,ILIconsultationrate,65+,1721.03261957174
primary care syndromic,Austria,2023-W03,ILIconsultationrate,total,2410.57542768274
primary care syndromic,Austria,2023-W02,ILIconsultationrate,0-4,4301.49960536701
primary care syndromic,Austria,2023-W02,ILIconsultationrate,15-64,3554.66130114017
primary care syndromic,Austria,2023-W02,ILIconsultationrate,5-14,1782.17821782178
primary care syndromic,Austria,2023-W02,ILIconsultationrate,65+,912.54752851711
primary care syndromic,Austria,2023-W02,ILIconsultationrate,total,2853.93618726952
primary care syndromic,Austria,2023-W01,ILIconsultationrate,0-4,3314.91712707182
primary care syndromic,Austria,2023-W01,ILIconsultationrate,15-64,3848.61066751836
primary care syndromic,Austria,2023-W01,ILIconsultationrate,5-14,1782.17821782178
primary care syndromic,Austria,2023-W01,ILIconsultationrate,65+,1846.82237914177
primary care syndromic,Austria,2023-W01,ILIconsultationrate,total,3043.2955023119
primary care syndromic,Austria,2022-W52,ILIconsultationrate,0-4,7063.93054459353
primary care syndromic,Austria,2022-W52,ILIconsultationrate,15-64,5179.31998136935
primary care syndromic,Austria,2022-W52,ILIconsultationrate,5-14,3108.91089108911
primary care syndromic,Austria,2022-W52,ILIconsultationrate,65+,1615.96958174905
primary care syndromic,Austria,2022-W52,ILIconsultationrate,total,4391.1525029103605
primary care syndromic,Austria,2022-W51,ILIconsultationrate,0-4,3157.89473684211
primary care syndromic,Austria,2022-W51,ILIconsultationrate,15-64,7243.460764587529
primary care syndromic,Austria,2022-W51,ILIconsultationrate,5-14,3220.69693769799
primary care syndromic,Austria,2022-W51,ILIconsultationrate,65+,1850.44359949303
primary care syndromic,Austria,2022-W51,ILIconsultationrate,total,5322.74856845393
primary care syndromic,Austria,2022-W50,ILIconsultationrate,0-4,7609.72529207452
primary care syndromic,Austria,2022-W50,ILIconsultationrate,15-64,7148.3202918162
primary care syndromic,Austria,2022-W50,ILIconsultationrate,5-14,4688.73752574054
primary care syndromic,Austria,2022-W50,ILIconsultationrate,65+,1781.06864118471
primary care syndromic,Austria,2022-W50,ILIconsultationrate,total,5849.27241532694
primary care syndromic,Austria,2022-W49,ILIconsultationrate,0-4,6157.24660562046
primary care syndromic,Austria,2022-W49,ILIconsultationrate,15-64,4750.77485900107
primary care syndromic,Austria,2022-W49,ILIconsultationrate,5-14,4799.61983209251
primary care syndromic,Austria,2022-W49,ILIconsultationrate,65+,1434.49706187349
primary care syndromic,Austria,2022-W49,ILIconsultationrate,total,4337.99753913068
primary care syndromic,Austria,2022-W48,ILIconsultationrate,0-4,6393.0544593528
primary care syndromic,Austria,2022-W48,ILIconsultationrate,15-64,4657.72383689982
primary care syndromic,Austria,2022-W48,ILIconsultationrate,5-14,3748.68004223865
primary care syndromic,Austria,2022-W48,ILIconsultationrate,65+,1140.68441064639
primary care syndromic,Austria,2022-W48,ILIconsultationrate,total,4105.25135907639
primary care syndromic,Austria,2022-W47,ILIconsultationrate,0-4,6125.6709820019
primary care syndromic,Austria,2022-W47,ILIconsultationrate,15-64,3318.23262928752
primary care syndromic,Austria,2022-W47,ILIconsultationrate,5-14,2439.41073974339
primary care syndromic,Austria,2022-W47,ILIconsultationrate,65+,920.552331398839
primary care syndromic,Austria,2022-W47,ILIconsultationrate,total,3043.78216940967
primary care syndromic,Austria,2022-W46,ILIconsultationrate,0-4,5936.2172402905
primary care syndromic,Austria,2022-W46,ILIconsultationrate,15-64,2641.64264281932
primary care syndromic,Austria,2022-W46,ILIconsultationrate,5-14,2138.44447964518
primary care syndromic,Austria,2022-W46,ILIconsultationrate,65+,1340.80448268961
primary care syndromic,Austria,2022-W46,ILIconsultationrate,total,2665.69231746839
primary care syndromic,Austria,2022-W45,ILIconsultationrate,0-4,4925.79728449637
primary care syndromic,Austria,2022-W45,ILIconsultationrate,15-64,2473.27604275833
primary care syndromic,Austria,2022-W45,ILIconsultationrate,5-14,1821.63789006811
primary care syndromic,Austria,2022-W45,ILIconsultationrate,65+,689.163498098859
primary care syndromic,Austria,2022-W45,ILIconsultationrate,total,2335.63087032606
primary care syndromic,Austria,2022-W44,ILIconsultationrate,0-4,1104.97237569061
primary care syndromic,Austria,2022-W44,ILIconsultationrate,15-64,2068.06607874798
primary care syndromic,Austria,2022-W44,ILIconsultationrate,5-14,435.643564356436
primary care syndromic,Austria,2022-W44,ILIconsultationrate,65+,760.4562737642591
primary care syndromic,Austria,2022-W44,ILIconsultationrate,total,1474.31386347643
primary care syndromic,Austria,2022-W43,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2022-W43,ILIconsultationrate,15-64,1740.65793676142
primary care syndromic,Austria,2022-W43,ILIconsultationrate,5-14,1293.5586061246
primary care syndromic,Austria,2022-W43,ILIconsultationrate,65+,325.909831613254
primary care syndromic,Austria,2022-W43,ILIconsultationrate,total,1274.32173198136
primary care syndromic,Austria,2022-W42,ILIconsultationrate,0-4,1842.10526315789
primary care syndromic,Austria,2022-W42,ILIconsultationrate,15-64,2056.7851553767
primary care syndromic,Austria,2022-W42,ILIconsultationrate,5-14,897.5712777191129
primary care syndromic,Austria,2022-W42,ILIconsultationrate,65+,931.558935361217
primary care syndromic,Austria,2022-W42,ILIconsultationrate,total,1685.15950069348
primary care syndromic,Austria,2022-W41,ILIconsultationrate,0-4,4157.89473684211
primary care syndromic,Austria,2022-W41,ILIconsultationrate,15-64,1994.84092863285
primary care syndromic,Austria,2022-W41,ILIconsultationrate,5-14,1214.36114044351
primary care syndromic,Austria,2022-W41,ILIconsultationrate,65+,116.993272886809
primary care syndromic,Austria,2022-W41,ILIconsultationrate,total,1740.84968896176
primary care syndromic,Austria,2022-W40,ILIconsultationrate,0-4,4210.52631578947
primary care syndromic,Austria,2022-W40,ILIconsultationrate,15-64,1053.97636537847
primary care syndromic,Austria,2022-W40,ILIconsultationrate,5-14,976.7687434002108
primary care syndromic,Austria,2022-W40,ILIconsultationrate,65+,271.591526344378
primary care syndromic,Austria,2022-W40,ILIconsultationrate,total,1182.97250388234
primary care syndromic,Belgium,2023-W47,ARIconsultationrate,0-4,2484.47204968944
primary care syndromic,Belgium,2023-W47,ARIconsultationrate,15-64,1105.00201153279
primary care syndromic,Belgium,2023-W47,ARIconsultationrate,5-14,1540.96903244925
primary care syndromic,Belgium,2023-W47,ARIconsultationrate,65+,724.125750618156
primary care syndromic,Belgium,2023-W47,ARIconsultationrate,total,1150.09612743752
primary care syndromic,Belgium,2023-W46,ARIconsultationrate,0-4,3478.87823926163
primary care syndromic,Belgium,2023-W46,ARIconsultationrate,15-64,917.230238479862
primary care syndromic,Belgium,2023-W46,ARIconsultationrate,5-14,1891.0741301059
primary care syndromic,Belgium,2023-W46,ARIconsultationrate,65+,663.796196627198
primary care syndromic,Belgium,2023-W46,ARIconsultationrate,total,1106.86889208028
primary care syndromic,Belgium,2023-W45,ARIconsultationrate,0-4,4986.61311914324
primary care syndromic,Belgium,2023-W45,ARIconsultationrate,15-64,1241.73895084676
primary care syndromic,Belgium,2023-W45,ARIconsultationrate,5-14,1958.54181558256
primary care syndromic,Belgium,2023-W45,ARIconsultationrate,65+,840.194925222652
primary care syndromic,Belgium,2023-W45,ARIconsultationrate,total,1430.19745632702
primary care syndromic,Belgium,2023-W44,ARIconsultationrate,0-4,3468.20809248555
primary care syndromic,Belgium,2023-W44,ARIconsultationrate,15-64,780.858003010537
primary care syndromic,Belgium,2023-W44,ARIconsultationrate,5-14,823.2615169031351
primary care syndromic,Belgium,2023-W44,ARIconsultationrate,65+,800.1600320064009
primary care syndromic,Belgium,2023-W44,ARIconsultationrate,total,919.687306315853
primary care syndromic,Belgium,2023-W43,ARIconsultationrate,0-4,4184.10041841004
primary care syndromic,Belgium,2023-W43,ARIconsultationrate,15-64,827.905630337241
primary care syndromic,Belgium,2023-W43,ARIconsultationrate,5-14,1511.2540192926
primary care syndromic,Belgium,2023-W43,ARIconsultationrate,65+,549.651887138146
primary care syndromic,Belgium,2023-W43,ARIconsultationrate,total,1012.70484257043
primary care syndromic,Belgium,2023-W42,ARIconsultationrate,0-4,4028.92561983471
primary care syndromic,Belgium,2023-W42,ARIconsultationrate,15-64,995.103459169168
primary care syndromic,Belgium,2023-W42,ARIconsultationrate,5-14,1766.93925233645
primary care syndromic,Belgium,2023-W42,ARIconsultationrate,65+,783.091950151566
primary care syndromic,Belgium,2023-W42,ARIconsultationrate,total,1189.31794544906
primary care syndromic,Belgium,2023-W41,ARIconsultationrate,0-4,3046.35761589404
primary care syndromic,Belgium,2023-W41,ARIconsultationrate,15-64,1035.11160198289
primary care syndromic,Belgium,2023-W41,ARIconsultationrate,5-14,1406.84950973426
primary care syndromic,Belgium,2023-W41,ARIconsultationrate,65+,681.02494253852
primary care syndromic,Belgium,2023-W41,ARIconsultationrate,total,1109.70248777516
primary care syndromic,Belgium,2023-W40,ARIconsultationrate,0-4,3864.7342995169106
primary care syndromic,Belgium,2023-W40,ARIconsultationrate,15-64,1048.49627053858
primary care syndromic,Belgium,2023-W40,ARIconsultationrate,5-14,1531.21319199058
primary care syndromic,Belgium,2023-W40,ARIconsultationrate,65+,679.745310617794
primary care syndromic,Belgium,2023-W40,ARIconsultationrate,total,1169.78892938883
primary care syndromic,Belgium,2023-W39,ARIconsultationrate,0-4,3665.4448517160895
primary care syndromic,Belgium,2023-W39,ARIconsultationrate,15-64,943.5664750315811
primary care syndromic,Belgium,2023-W39,ARIconsultationrate,5-14,1900.54301228923
primary care syndromic,Belgium,2023-W39,ARIconsultationrate,65+,607.748797163839
primary care syndromic,Belgium,2023-W39,ARIconsultationrate,total,1123.11371320195
primary care syndromic,Belgium,2023-W38,ARIconsultationrate,0-4,2550.8445363667706
primary care syndromic,Belgium,2023-W38,ARIconsultationrate,15-64,839.1010395232619
primary care syndromic,Belgium,2023-W38,ARIconsultationrate,5-14,1196.63170335352
primary care syndromic,Belgium,2023-W38,ARIconsultationrate,65+,390.313137585381
primary care syndromic,Belgium,2023-W38,ARIconsultationrate,total,878.9664861901172
primary care syndromic,Belgium,2023-W37,ARIconsultationrate,0-4,2177.06821480406
primary care syndromic,Belgium,2023-W37,ARIconsultationrate,15-64,682.217063918927
primary care syndromic,Belgium,2023-W37,ARIconsultationrate,5-14,796.875
primary care syndromic,Belgium,2023-W37,ARIconsultationrate,65+,349.452210049112
primary care syndromic,Belgium,2023-W37,ARIconsultationrate,total,706.373706192119
primary care syndromic,Belgium,2023-W36,ARIconsultationrate,0-4,2595.84664536741
primary care syndromic,Belgium,2023-W36,ARIconsultationrate,15-64,681.203147842857
primary care syndromic,Belgium,2023-W36,ARIconsultationrate,5-14,992.64076672942
primary care syndromic,Belgium,2023-W36,ARIconsultationrate,65+,332.674914232249
primary care syndromic,Belgium,2023-W36,ARIconsultationrate,total,746.283547839968
primary care syndromic,Belgium,2023-W35,ARIconsultationrate,0-4,1074.52339688042
primary care syndromic,Belgium,2023-W35,ARIconsultationrate,15-64,603.123317178244
primary care syndromic,Belgium,2023-W35,ARIconsultationrate,5-14,639.595418711885
primary care syndromic,Belgium,2023-W35,ARIconsultationrate,65+,423.461573114695
primary care syndromic,Belgium,2023-W35,ARIconsultationrate,total,596.400850519474
primary care syndromic,Belgium,2023-W34,ARIconsultationrate,0-4,1648.84135472371
primary care syndromic,Belgium,2023-W34,ARIconsultationrate,15-64,501.929183596818
primary care syndromic,Belgium,2023-W34,ARIconsultationrate,5-14,382.116927779901
primary care syndromic,Belgium,2023-W34,ARIconsultationrate,65+,272.92576419214
primary care syndromic,Belgium,2023-W34,ARIconsultationrate,total,498.639085465433
primary care syndromic,Belgium,2023-W33,ARIconsultationrate,0-4,1325.13014671084
primary care syndromic,Belgium,2023-W33,ARIconsultationrate,15-64,394.063271093434
primary care syndromic,Belgium,2023-W33,ARIconsultationrate,5-14,307.440049190408
primary care syndromic,Belgium,2023-W33,ARIconsultationrate,65+,355.218030377266
primary care syndromic,Belgium,2023-W33,ARIconsultationrate,total,423.077832139734
primary care syndromic,Belgium,2023-W32,ARIconsultationrate,0-4,1500.8576329331
primary care syndromic,Belgium,2023-W32,ARIconsultationrate,15-64,383.534468507191
primary care syndromic,Belgium,2023-W32,ARIconsultationrate,5-14,512.070226773958
primary care syndromic,Belgium,2023-W32,ARIconsultationrate,65+,267.924123888115
primary care syndromic,Belgium,2023-W32,ARIconsultationrate,total,430.597771023303
primary care syndromic,Belgium,2023-W31,ARIconsultationrate,0-4,1463.41463414634
primary care syndromic,Belgium,2023-W31,ARIconsultationrate,15-64,416.960480730907
primary care syndromic,Belgium,2023-W31,ARIconsultationrate,5-14,409.20716112532
primary care syndromic,Belgium,2023-W31,ARIconsultationrate,65+,399.69547011800506
primary care syndromic,Belgium,2023-W31,ARIconsultationrate,total,462.585034013605
primary care syndromic,Belgium,2023-W30,ARIconsultationrate,0-4,1207.1463061323
primary care syndromic,Belgium,2023-W30,ARIconsultationrate,15-64,440.031592011734
primary care syndromic,Belgium,2023-W30,ARIconsultationrate,5-14,435.05282784338107
primary care syndromic,Belgium,2023-W30,ARIconsultationrate,65+,347.782884113775
primary care syndromic,Belgium,2023-W30,ARIconsultationrate,total,459.819923925081
primary care syndromic,Belgium,2023-W29,ARIconsultationrate,0-4,1153.13653136531
primary care syndromic,Belgium,2023-W29,ARIconsultationrate,15-64,374.692217107376
primary care syndromic,Belgium,2023-W29,ARIconsultationrate,5-14,533.175355450237
primary care syndromic,Belgium,2023-W29,ARIconsultationrate,65+,257.97373358349
primary care syndromic,Belgium,2023-W29,ARIconsultationrate,total,408.834479135738
primary care syndromic,Belgium,2023-W28,ARIconsultationrate,0-4,2044.22194409679
primary care syndromic,Belgium,2023-W28,ARIconsultationrate,15-64,427.18319963477506
primary care syndromic,Belgium,2023-W28,ARIconsultationrate,5-14,592.140678270232
primary care syndromic,Belgium,2023-W28,ARIconsultationrate,65+,326.086956521739
primary care syndromic,Belgium,2023-W28,ARIconsultationrate,total,507.98561752654894
primary care syndromic,Belgium,2023-W27,ARIconsultationrate,0-4,1948.31013916501
primary care syndromic,Belgium,2023-W27,ARIconsultationrate,15-64,443.62523040394893
primary care syndromic,Belgium,2023-W27,ARIconsultationrate,5-14,425.966944965071
primary care syndromic,Belgium,2023-W27,ARIconsultationrate,65+,230.366492146597
primary care syndromic,Belgium,2023-W27,ARIconsultationrate,total,476.54325931562
primary care syndromic,Belgium,2023-W26,ARIconsultationrate,0-4,1633.70593293207
primary care syndromic,Belgium,2023-W26,ARIconsultationrate,15-64,441.73947187592
primary care syndromic,Belgium,2023-W26,ARIconsultationrate,5-14,687.907313540912
primary care syndromic,Belgium,2023-W26,ARIconsultationrate,65+,461.845281830587
primary care syndromic,Belgium,2023-W26,ARIconsultationrate,total,531.937085401978
primary care syndromic,Belgium,2023-W25,ARIconsultationrate,0-4,1787.62960314623
primary care syndromic,Belgium,2023-W25,ARIconsultationrate,15-64,409.402328301677
primary care syndromic,Belgium,2023-W25,ARIconsultationrate,5-14,475.751995089012
primary care syndromic,Belgium,2023-W25,ARIconsultationrate,65+,355.306217858813
primary care syndromic,Belgium,2023-W25,ARIconsultationrate,total,475.730586257467
primary care syndromic,Belgium,2023-W24,ARIconsultationrate,0-4,1505.13950073421
primary care syndromic,Belgium,2023-W24,ARIconsultationrate,15-64,414.364640883978
primary care syndromic,Belgium,2023-W24,ARIconsultationrate,5-14,679.519595448799
primary care syndromic,Belgium,2023-W24,ARIconsultationrate,65+,246.767347744546
primary care syndromic,Belgium,2023-W24,ARIconsultationrate,total,469.08315565032
primary care syndromic,Belgium,2023-W23,ARIconsultationrate,0-4,2120.9740769835
primary care syndromic,Belgium,2023-W23,ARIconsultationrate,15-64,550.364389609604
primary care syndromic,Belgium,2023-W23,ARIconsultationrate,5-14,686.65215206833
primary care syndromic,Belgium,2023-W23,ARIconsultationrate,65+,580.832526621491
primary care syndromic,Belgium,2023-W23,ARIconsultationrate,total,649.125510439941
primary care syndromic,Belgium,2023-W22,ARIconsultationrate,0-4,1845.93539226127
primary care syndromic,Belgium,2023-W22,ARIconsultationrate,15-64,449.469185164759
primary care syndromic,Belgium,2023-W22,ARIconsultationrate,5-14,564.626888448039
primary care syndromic,Belgium,2023-W22,ARIconsultationrate,65+,505.37535605991
primary care syndromic,Belgium,2023-W22,ARIconsultationrate,total,543.189780247001
primary care syndromic,Belgium,2023-W21,ARIconsultationrate,0-4,2215.83914649159
primary care syndromic,Belgium,2023-W21,ARIconsultationrate,15-64,769.614258116782
primary care syndromic,Belgium,2023-W21,ARIconsultationrate,5-14,1073.40720221607
primary care syndromic,Belgium,2023-W21,ARIconsultationrate,65+,660.06600660066
primary care syndromic,Belgium,2023-W21,ARIconsultationrate,total,851.627180936197
primary care syndromic,Belgium,2023-W20,ARIconsultationrate,0-4,1821.3356461405
primary care syndromic,Belgium,2023-W20,ARIconsultationrate,15-64,595.440626063287
primary care syndromic,Belgium,2023-W20,ARIconsultationrate,5-14,785.340314136126
primary care syndromic,Belgium,2023-W20,ARIconsultationrate,65+,418.741511996378
primary care syndromic,Belgium,2023-W20,ARIconsultationrate,total,645.161290322581
primary care syndromic,Belgium,2023-W19,ARIconsultationrate,0-4,1843.63263912598
primary care syndromic,Belgium,2023-W19,ARIconsultationrate,15-64,784.614165323752
primary care syndromic,Belgium,2023-W19,ARIconsultationrate,5-14,743.006993006993
primary care syndromic,Belgium,2023-W19,ARIconsultationrate,65+,505.353319057816
primary care syndromic,Belgium,2023-W19,ARIconsultationrate,total,777.127829942179
primary care syndromic,Belgium,2023-W18,ARIconsultationrate,0-4,1759.75516449885
primary care syndromic,Belgium,2023-W18,ARIconsultationrate,15-64,562.366103308736
primary care syndromic,Belgium,2023-W18,ARIconsultationrate,5-14,658.111220796315
primary care syndromic,Belgium,2023-W18,ARIconsultationrate,65+,545.472577605871
primary care syndromic,Belgium,2023-W18,ARIconsultationrate,total,629.975373689938
primary care syndromic,Belgium,2023-W17,ARIconsultationrate,0-4,1799.77502812149
primary care syndromic,Belgium,2023-W17,ARIconsultationrate,15-64,626.29246676514
primary care syndromic,Belgium,2023-W17,ARIconsultationrate,5-14,662.679812510102
primary care syndromic,Belgium,2023-W17,ARIconsultationrate,65+,628.484541307653
primary care syndromic,Belgium,2023-W17,ARIconsultationrate,total,690.52102950408
primary care syndromic,Belgium,2023-W16,ARIconsultationrate,0-4,1641.36233073451
primary care syndromic,Belgium,2023-W16,ARIconsultationrate,15-64,903.905495122027
primary care syndromic,Belgium,2023-W16,ARIconsultationrate,5-14,1008.69565217391
primary care syndromic,Belgium,2023-W16,ARIconsultationrate,65+,590.318772136954
primary care syndromic,Belgium,2023-W16,ARIconsultationrate,total,888.2896458738148
primary care syndromic,Belgium,2023-W15,ARIconsultationrate,0-4,1284.70783257356
primary care syndromic,Belgium,2023-W15,ARIconsultationrate,15-64,636.458630189038
primary care syndromic,Belgium,2023-W15,ARIconsultationrate,5-14,701.631292755657
primary care syndromic,Belgium,2023-W15,ARIconsultationrate,65+,525.199474800525
primary care syndromic,Belgium,2023-W15,ARIconsultationrate,total,653.278490200823
primary care syndromic,Belgium,2023-W14,ARIconsultationrate,0-4,2157.41110667199
primary care syndromic,Belgium,2023-W14,ARIconsultationrate,15-64,644.057249533292
primary care syndromic,Belgium,2023-W14,ARIconsultationrate,5-14,823.045267489712
primary care syndromic,Belgium,2023-W14,ARIconsultationrate,65+,430.40100776821293
primary care syndromic,Belgium,2023-W14,ARIconsultationrate,total,699.986000279994
primary care syndromic,Belgium,2023-W13,ARIconsultationrate,0-4,2713.56783919598
primary care syndromic,Belgium,2023-W13,ARIconsultationrate,15-64,898.999374609131
primary care syndromic,Belgium,2023-W13,ARIconsultationrate,5-14,1236.34272570443
primary care syndromic,Belgium,2023-W13,ARIconsultationrate,65+,695.349847892221
primary care syndromic,Belgium,2023-W13,ARIconsultationrate,total,989.602487379225
primary care syndromic,Belgium,2023-W12,ARIconsultationrate,0-4,2776.70651754724
primary care syndromic,Belgium,2023-W12,ARIconsultationrate,15-64,1091.85084905383
primary care syndromic,Belgium,2023-W12,ARIconsultationrate,5-14,1356.65250081726
primary care syndromic,Belgium,2023-W12,ARIconsultationrate,65+,828.2352941176471
primary care syndromic,Belgium,2023-W12,ARIconsultationrate,total,1151.64587827066
primary care syndromic,Belgium,2023-W11,ARIconsultationrate,0-4,2864.88579171506
primary care syndromic,Belgium,2023-W11,ARIconsultationrate,15-64,1690.74146370762
primary care syndromic,Belgium,2023-W11,ARIconsultationrate,5-14,1655.90329524756
